name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type,Good quality
20180705sample2,2.3022890090942383,-12.920144945383072,122.11441628730114,85.09593084454536,-37.06050664186478,0.8799999999999919,24,294.4999823806186,-50.57124768048525,71.84000000000002,3.9999999999999916,1.199984883900325,25.642333438832182,V1layer4,True
20180919sample11,2.3532845079898834,-8.46106931567192,118.49251579236486,85.74273809790611,-47.7144792675972,0.9200000000000319,19,326.3309626032908,-64.94523529410363,148.96,4.761904761904765,1.1196988878551213,22.462966939736344,V1layer4,True
20180919sample13,0.0,-6.100840866565704,93.22627762238666,72.26433604955673,-38.05486485362053,0.9200000000000041,10,340.00109655658406,-55.290256237983705,128.68,0.0,1.125876514535118,29.091072089637933,V1layer4,True
20180920sample3,0.0,-13.651374727487564,135.57892045636123,75.99187642335892,-36.79075092077255,0.8800000000000197,8,292.7121244979402,-49.458307886123656,24.12,26.666666666666686,1.1361878977307662,23.92131673946319,V1layer4,True
20180703sample2,0.0,-6.956994533538818,0.0,72.90799543261528,-42.10934042930603,1.0000000000000009,2,312.8220232203603,-50.125916491448876,20.60000000000001,20.0,1.0594304332707007,26.11219563598995,V1layer4,False
20180919sample9,0.0,-13.00133764743805,121.89113011300269,80.05982637405396,-43.91384869813919,0.7199999999999984,37,238.76417764152097,-61.39123253375292,33.84000000000001,32.45283018867925,1.139747025359477,12.969348242900484,V1layer4,True
20180919sample16,0.0,-11.542413383722305,115.81996202024436,79.06528934836388,-36.9662381708622,0.8800000000000197,21,270.92522283395135,-55.55995007455349,72.04000000000002,20.0,1.0964769133534542,26.38871299075584,V1layer4,True
20180604sample2,2.792712301015854,-12.563817203044891,108.48223513287476,83.81762728095055,-34.79072079062462,0.8800000000000197,21,296.43723813320196,-57.36597976237535,109.56000000000002,22.272727272727266,1.0847180494811437,20.21282275410808,V1layer4,True
20180605sample5,0.0,-14.14031907916069,111.56538551285031,88.3956216275692,-33.523041754961014,0.8799999999999919,20,313.7689176015556,-57.84493281841278,68.88,20.0,1.1991658285013889,23.96315967857613,V1layer4,True
20180626sample12,4.066139459609985,-12.390941381454468,117.96448087431695,83.10556039214134,-40.724415332078934,0.7199999999999984,33,331.7154228687286,-54.97062782794237,87.68,8.571428571428584,1.211146597808097,21.699472350794704,V1layer4,True
20180919sample2,5.124881863594055,-10.424546897411346,125.6962518073629,85.44377610087395,-38.81451487541199,0.9600000000000164,24,343.5451702115437,-57.258873426914214,251.16000000000005,6.0,1.1984248697417996,33.46551200744782,V1layer4,True
20180920sample2,0.0,-7.614374160766602,118.84018856382035,76.47262886166573,-35.45648604631424,0.9599999999999886,20,243.47818568845585,-55.85853604376316,90.2,20.0,1.2192795566529981,24.203072435410213,V1layer4,True
20180605sample4,2.6648007333278656,-10.244864970445633,119.8332077753199,78.61360162496567,-45.700326561927795,0.7999999999999952,32,219.67797348068817,-60.18510832414031,47.24,23.414634146341463,1.0920498347954615,14.270534937919653,V1layer4,True
20180627sample13,0.0,-13.473223894834518,112.66038662062427,65.01944735646248,-28.61911803483963,0.6400000000000017,41,136.7068546401958,-52.56884516477585,62.76000000000001,100.0,1.216881838604141,12.550270109241584,V1layer4,True
20180605sample19,0.0,-8.048854768276215,127.61244019138758,76.58789679408073,-39.419084787368774,0.8800000000000058,27,284.50647646437096,-46.45754373222589,7.680000000000006,0.0,1.174156455820851,20.016028010361882,V1layer4,True
20180604sample1,3.5187900066375732,-3.731895238161087,729.43466632647,72.24811241030693,-42.32894256711006,1.36,3,405.4253974147141,-55.866589818894866,40.76000000000002,20.0,1.1008421403901294,18.95300100891258,V1layer4,True
20180605sample3,0.0,-14.947891235351562,117.41719676754389,72.8696621954441,-31.845934689044952,0.7999999999999952,25,303.6728091984987,-47.200464168190955,23.44,20.0,1.0603083098470387,16.8678864607295,V1layer4,True
20180605sample2,3.911159932613373,-12.878809124231339,124.64290888019701,82.68487825989723,-36.01355850696564,0.8799999999999919,24,267.50281108099784,-58.16111111342907,100.08,20.0,1.1456316981745152,21.853213702746533,V1layer4,True
20180919sample8,0.0,-5.416832864284515,113.3868827872634,79.11011576652527,-49.52108860015869,0.9600000000000164,31,414.69204081594944,-74.75390323102474,210.92000000000002,16.666666666666668,1.0089134579426804,25.230531724889616,V1layer4,True
20180605sample7,0.0,-10.114390403032303,106.5160382046046,75.35702735185623,-38.16847503185272,1.0000000000000009,23,376.88515159913476,-63.50293380320072,97.64,20.0,1.0988817690947563,23.7735019151194,V1layer4,True
20180919sample6,0.0,-13.315543532371521,119.56658146552127,69.31999325752258,-34.16917473077774,0.8799999999999919,13,344.4703812549511,-61.35991816222668,84.84,21.818181818181817,1.0560864638299667,18.657001273580455,V1layer4,True
20180703sample3,0.0,-9.545210748910904,143.9786687265111,68.07294115424156,-29.61917594075203,0.8799999999999919,15,291.8232112129529,-45.167543613910674,40.03999999999999,20.0,1.1643739730660014,16.990052389746005,V1layer4,True
20180919sample25,0.0,-7.583845406770706,117.30501428150312,84.09811928868294,-42.04302281141281,0.7999999999999952,18,306.996257379651,-60.15826806724071,47.80000000000001,20.0,1.0121397417014717,22.104054566054103,V1layer4,True
20180920sample1,0.0,-6.833743304014206,110.17149708090078,69.82901692390442,-39.28816318511963,1.0400000000000131,15,280.0387103892863,-55.670324720442295,56.99999999999999,20.0,1.2537440186951123,21.962871995260596,V1layer4,True
